# [Filetype: Library List]
# List of books used to generate library versions of books.
# Format:
# - Four tab separated columns...
#   - New book id
#   - Original book id (prototype for new book)
#   - Original book id 2 (optional, usually open versions of closed books)
#   - Title of book (not used by script - just included for easy identification)
# Notes
# - This list includes books from three Morrowind ems plus the Entertainers 
#   plugin. Not included (though perhaps they should be) are personal journals
#   that you occasionally find in caves, etc.
# - Series books are first, followed
# - Some morrowind books are not available in closed versions. This list 
#   assumes that closed versions of these books have been defined. (Wrye 
#   Library should have copies of those listed here.)

lib_LongBlade2	BookSkill_Long Blade2		2920, Morning Star
lib_Mysticism2	BookSkill_Mysticism2		2920, Sun's Dawn
lib_Spear2	BookSkill_Spear2		2920, First Seed
lib_Restoration4	BookSkill_Restoration4		2920, Rain's Hand
lib_Speechcraft3	BookSkill_Speechcraft3		2920, Second Seed
lib_HeavyArmor2	BookSkill_Heavy Armor2		2920, MidYear
lib_Mercantile3	BookSkill_Mercantile3		2920, Sun's Height
lib_Sneak2	BookSkill_Sneak2		2920, Last Seed
lib_Conjuration3	BookSkill_Conjuration3		2920, Hearth Fire
lib_Conjuration4	BookSkill_Conjuration4		2920, FrostFall
lib_ShortBlade2	BookSkill_Short Blade2		2920, Sun's Dusk
lib_ShortBlade3	BookSkill_Short Blade3		2920, Evening Star
lib_Athletics3	BookSkill_Athletics3		36 Lessons of Vivec, Sermon  1
lib_Alchemy4	BookSkill_Alchemy4		36 Lessons of Vivec, Sermon  2
lib_BluntWeapon4	BookSkill_Blunt Weapon4		36 Lessons of Vivec, Sermon  3
lib_Mysticism3	BookSkill_Mysticism3		36 Lessons of Vivec, Sermon  4
lib_Axe4	BookSkill_Axe4		36 Lessons of Vivec, Sermon  5
lib_Armorer3	BookSkill_Armorer3		36 Lessons of Vivec, Sermon  6
lib_Block4	BookSkill_Block4		36 Lessons of Vivec, Sermon  7
lib_Athletics4	BookSkill_Athletics4		36 Lessons of Vivec, Sermon  8
lib_BluntWeapon5	BookSkill_Blunt Weapon5		36 Lessons of Vivec, Sermon  9
lib_ShortBlade4	BookSkill_Short Blade4		36 Lessons of Vivec, Sermon 10
lib_Unarmored3	bookskill_unarmored3		36 Lessons of Vivec, Sermon 11
lib_HeavyArmor5	bookskill_heavy armor5		36 Lessons of Vivec, Sermon 12
lib_Alteration4	BookSkill_Alteration4		36 Lessons of Vivec, Sermon 13
lib_Spear3	bookskill_spear3		36 Lessons of Vivec, Sermon 14
lib_Unarmored4	bookskill_unarmored4		36 Lessons of Vivec, Sermon 15
lib_Axe5	BookSkill_Axe5	BookSkill_Axe5_open	36 Lessons of Vivec, Sermon 16
lib_LongBlade3	bookskill_long blade3		36 Lessons of Vivec, Sermon 17
lib_Alchemy5	BookSkill_Alchemy5		36 Lessons of Vivec, Sermon 18
lib_Enchant4	bookskill_enchant4		36 Lessons of Vivec, Sermon 19
lib_LongBlade4	bookskill_long blade4		36 Lessons of Vivec, Sermon 20
lib_LightArmor4	bookskill_light armor4		36 Lessons of Vivec, Sermon 21
lib_MediumArmor4	bookskill_medium armor4		36 Lessons of Vivec, Sermon 22
lib_LongBlade5	bookskill_long blade5		36 Lessons of Vivec, Sermon 23
lib_Spear4	bookskill_spear4		36 Lessons of Vivec, Sermon 24
lib_Armorer4	BookSkill_Armorer4		36 Lessons of Vivec, Sermon 25
lib_Sneak5	bookskill_sneak5		36 Lessons of Vivec, Sermon 26
lib_Speechcraft5	bookskill_speechcraft5		36 Lessons of Vivec, Sermon 27
lib_LightArmor5	bookskill_light armor5		36 Lessons of Vivec, Sermon 28
lib_Armorer5	BookSkill_Armorer5		36 Lessons of Vivec, Sermon 29
lib_ShortBlade5	BookSkill_Short Blade5		36 Lessons of Vivec, Sermon 30
lib_Athletics5	BookSkill_Athletics5		36 Lessons of Vivec, Sermon 31
lib_Block5	BookSkill_Block5		36 Lessons of Vivec, Sermon 32
lib_MediumArmor5	bookskill_medium armor5		36 Lessons of Vivec, Sermon 33
lib_Unarmored5	bookskill_unarmored5		36 Lessons of Vivec, Sermon 34
lib_Spear5	bookskill_spear5		36 Lessons of Vivec, Sermon 35
lib_Mysticism4	BookSkill_Mysticism4		36 Lessons of Vivec, Sermon 36
lib_BioBarenziah1	bk_BiographyBarenziah1		Biography of Barenziah v I
lib_BioBarenziah2	bk_BiographyBarenziah2		Biography of Barenziah v II
lib_BioBarenziah3	bk_BiographyBarenziah3		Biography of Barenziah v III
lib_MediumArmor2	BookSkill_Medium Armor2		Bone, Part One
lib_MediumArmor3	BookSkill_Medium Armor3		Bone, Part Two
lib_BriefEmpire1	bk_BriefHistoryEmpire1		Brief History of the Empire v 1
lib_BriefEmpire2	bk_BriefHistoryEmpire2		Brief History of the Empire v 2
lib_BriefEmpire3	bk_BriefHistoryEmpire3		Brief History of the Empire v 3
lib_BriefEmpire4	bk_BriefHistoryEmpire4		Brief History of the Empire v 4
lib_Acrobatics4	BookSkill_Acrobatics4		Black Arrow, Volume 1
lib_Marksman5	bookskill_marksman5		Black Arrow, Volume II
lib_Unarmored2	bookskill_unarmored2		Charwich-Koniinge, Volume 1
lib_HandHand3	bookskill_hand to hand3		Charwich-Koniinge, Volume 2
lib_Mysticism5	BookSkill_Mysticism5		Charwich-Koniinge, Volume 3
lib_HandHand4	bookskill_hand to hand4		Charwich-Koniinge, Volume 4
