# [Filetype: Wrye Mash Remover]
# All creatures added by Neoptolemus' Morrowind Comes Alive v5.1
# by Dragon32

# MCA 5.1
"_MCA_skeleton"	"Skeleton"
"_MCA_skel_warrior01"	"Skeleton Warrior"
"_MCA_skel_mage"	"Skeleton Mage"
"_MCA_skel_archer01"	"Skeleton Archer"
"_MCA_skel_sorceror"	"Skeleton Sorceror"
"_MCA_skel_knight01"	"Skeleton Knight"
"_MCA_wraith_m"	"Wraith"
"_MCA_skel_lich"	"Lich Lord"
"_MCA_skel_marksman01"	"Skeleton Marksman"
"_MCA_skel_crusader01"	"Skeleton Knight"
"_MCA_skel_crippled_01"	"Crippled Skeleton"
"_MCA_skel_crippled_02"	"Crippled Skeleton"
"_MCA_skel_crippled_03"	"Crippled Skeleton"
"_MCA_skel_crippled_06"	"Crippled Skeleton"
"_MCA_skel_crippled_07"	"Crippled Skeleton"
"_MCA_skel_crippled_08"	"Crippled Skeleton"
"_MCA_skel_crippled_09"	"Crippled Skeleton"
"_MCA_skel_champion01"	"Skeleton Champion"
"_MCA_skel_crippled_04"	"Crippled Skeleton"
"_MCA_skel_crippled_05"	"Crippled Skeleton"
"_MCA_skel_crippled_10"	"Crippled Skeleton"
"_MCA_skel_crippled_11"	"Crippled Skeleton"
"_MCA_wild_e_altmer_f"	"Elder Vampire"
"_MCA_werewolf_40"	"Werewolf"
"_MCA_werewolf_60"	"Werewolf"
"_MCA_werewolf_80"	"Werewolf"
"_MCA_werewolf_20"	"Werewolf"
"_MCA_imp_knight_imp_m"	"Imperial Knight"
"_MCA_noble_imp_f1"	"Noblewoman"
"_MCA_noble_imp_f2"	"Noblewoman"
"_MCA_noble_imp_f3"	"Noblewoman"
"_MCA_noble_dunmer_f1"	"Noblewoman"
"_MCA_noble_dunmer_f2"	"Noblewoman"
"_MCA_noble_dunmer_f3"	"Noblewoman"
"_MCA_noble_imp_m1"	"Nobleman"
"_MCA_noble_imp_m2"	"Nobleman"
"_MCA_noble_dunmer_m1"	"Nobleman"
"_MCA_noble_dunmer_m2"	"Nobleman"
"_MCA_noble_dunmer_m3"	"Nobleman"
"_MCA_imp_guard_imp_m1"	"Imperial Legionary"
"_MCA_imp_archer_imp_m"	"Imperial Archer"
"_MCA_guard_hlaalu_m1"	"Hlaalu Guard"
"_MCA_guard_telvanni_m1"	"Telvanni Guard"
"_MCA_guard_redoran_m1"	"Redoran Guard"
"_MCA_guard_helseth_m"	"Royal Guard"
"_MCA_ordinator_m"	"Ordinator"
"_MCA_ordinator_f"	"Ordinator"
