# [Filetype: Wrye Mash Remover]
# by Dragon32

# Monsterous [sic] Variants by Teh Lurv
"BM_bear_black_elder_RL"	"Elder Grizzly Bear"
"BM_bear_black_enrag_RL"	"Enraged Grizzly Bear"
"BM_bear_black_legend_RL"	"Legendary Grizzly Bear"
"BM_bear_black_young_RL"	"Young Grizzly Bear"
"BM_bear_brown_rabid_RL"	"Rabid Plague Bear"
"BM_draugr_champ_RL"	"Draugr Champion"
"BM_draugr_warlord_RL"	"Draugr Warlord"
"BM_draugr_weak_RL"	"Crippled Draugr"
"BM_draugr_zerk_RL"	"Draugr Bezerker"
"BM_frost_boar_angry_RL"	"Enraged Bristleback"
"BM_frost_boar_elder_RL"	"Elder Bristleback"
"BM_frost_boar_legend_RL"	"Legendary Bristleback"
"BM_frost_boar_young_RL"	"Young Bristleback"
"BM_horker_young_RL"	"Young Horker"
"BM_riekling_blord_RL"	"Riekling Battlelord"
"BM_riekling_conscriptRL"	"Riekling Conscript"
"BM_riekling_mount_ch_RL"	"Riekling Warchief"
"BM_riekling_mount_dr_RL"	"Riekling Death Rider"
"BM_riekling_weapon_RL"	"Riekling Weapon Master"
"BM_spriggan_druid_RL"	"Spriggan Druid"
"BM_spriggan_herder_RL"	"Spriggan Tree Herder"
"BM_spriggan_young_RL"	"Spriggan Sappling"
"BM_wolf_grey_elder_RL"	"Elder Wolf"
"BM_wolf_grey_hungry_RL"	"Hungry Wolf"
"BM_wolf_grey_legend_RL"	"Legendary Wolf"
"BM_wolf_grey_young_RL"	"Young Wolf"
"BM_wolf_red_rabid_RL"	"Rabid Plague Wolf"
"BM_wolf_skeleton_anc_RL"	"Ancient Bonewolf"
"BM_wolf_skeleton_eld_RL"	"Elder Bonewolf"
"BM_wolf_skeleton_gra_RL"	"Grand Bonewolf"
"BM_wolf_skeleton_gre_RL"	"Greater Bonewolf"
"BM_wolf_skeleton_weakRL"	"Crippled Bonewolf"
"goblin_hulk_RL"	"Goblin Hulk"
"goblin_mauler_RL"	"Goblin Mauler"
"goblin_ravager_RL"	"Goblin Ravager"
