# [Filetype: Wrye Mash Remover]
# All creatures added by Morrowind Advanced v1.82 by Gary Noonan/WormGod Elite, Stromgarde & Pookhill
# by Dragon32

# Morrowind Advanced 1.82
"centurion_steam_MWA"	"Steam X-terminator"
"clannfear_giant_MWA"	"Dragonian"
"clannfear_MWA"	"Clannfear Warrior"
"dremora_cleaner_MWA"	"Elite Dremora General"
"dremora_MWA"	"Elite Dremora Assassin"
"earth_golem_g_MWA"	"Giant Earth Golem"
"earth_golem_MWA"	"Earth Golem"
"ghost_spectre_MVA"	"Spectre"
"golden_saint_MWA"	"Golden Saint Assassin"
"harpy_MWA"	"Harpy"
"hunger_MWA"	"Hungerling"
"kagouti_MWA"	"Rabid Kagouti"
"large_mouse_MVA"	"Large Mouse"
"mudcrab_giant_MWA"	"Devourer"
"mudcrab_MWA"	"Mako Mudcrab"
"nix-hound_MWA"	"Nix-Mastiff"
"ogrim_giant_MWA"	"Ogrim Behemoth"
"ogrim_MWA"	"Ogrim Tracker"
"rat_MWA"	"Rabid Rat"
"rat_UBER_MWA"	"Elder Rat"
"scrib_UBER_MWA"	"Elder Scrib"
"seducer_fiend_MWA"	"Seducer Fiend"
"shalk_UBER_MWA"	"Black Scarab"
"skeleton_knight_MWA"	"Undead Footman"
"skeleton_MWA"	"Undead Necromancer"
"slaughterfish_MWA"	"Snakehead"
"spectre_MWA"	"Spectral Fiend"
"winged_twilight_MWA"	"Winged Twilight Hunter"
"wyvern_MWA"	"Wyvern"
"raider_Fargonian_MWA"	"Argonian Raider"
"raider_Fbreton_MWA"	"Breton Raider"
"raider_Fdarkelf_MWA"	"Dark Elf Raider"
"raider_Fhighelf_MWA"	"High Elf Raider"
"raider_Fimperial_MWA"	"Imperial Raider"
"raider_Fkhajiit_MWA"	"Khajiit Raider"
"raider_Fnord_MWA"	"Nord Raider"
"raider_Forc_MWA"	"Orc Raider"
"raider_Fredguard_MWA"	"Redguard Raider"
"raider_Fwoodelf_MWA"	"Wood Elf Raider"
"raider_Margonian_MWA"	"Argonian Raider"
"raider_Mbreton_MWA"	"Breton Raider"
"raider_Mdarkelf_MWA"	"Dark Elf Raider"
"raider_Mhighelf_MWA"	"High Elf Raider"
"raider_Mimperial_MWA"	"Imperial Raider"
"raider_Mkhajiit_MWA"	"Khajiit Raider"
"raider_Mnord_MWA"	"Nord Raider"
"raider_Morc_MWA"	"Orc Raider"
"raider_Mredguard_MWA"	"Redguard Raider"
"raider_Mwoodelf_MWA"	"Wood Elf Raider"
