# [Filetype: Wrye Mash Remover]
# All creatures added by PirateLord's Creatures v8.5c
# by Dragon32

# PirateLord: Creatures v8.5c
"plx_Aqua Netch"	"Aqua Netch"
"plx_ashdreamer"	"Ash Dreamer"
"plx_ashpoet"	"Ash Poet"
"plx_Baby_Guar"	"Baby Guar"
"plx_Baby_Guar_wild"	"Feral Baby Guar"
"plx_baby_netch"	"Netchling"
"plx_bandit_boss1"	"Bandit"
"plx_bandit_boss2"	"Bandit"
"plx_bandit_boss3"	"Bandit"
"plx_bandit_boss4"	"Bandit"
"plx_bandit_boss5"	"Bandit"
"plx_Bandit_durzog"	"Durzog"
"plx_bandit_nix-hound"	"Nix-Hound"
"plx_bandit1"	"Bandit"
"plx_bandit10"	"Bandit"
"plx_bandit11"	"Bandit"
"plx_bandit12"	"Bandit"
"plx_bandit13"	"Bandit"
"plx_bandit14"	"Bandit"
"plx_bandit15"	"Bandit"
"plx_bandit16"	"Bandit"
"plx_bandit2"	"Bandit"
"plx_bandit3"	"Bandit"
"plx_bandit4"	"Bandit"
"plx_bandit5"	"Bandit"
"plx_bandit6"	"Bandit"
"plx_bandit7"	"Bandit"
"plx_bandit8"	"Bandit"
"plx_bandit9"	"Bandit"
"plx_beetle1"	"Brown Beetle"
"plx_beetle2"	"Blue Beetle"
"plx_beetle3"	"Green Beetle"
"plx_beetle4"	"Horned Beetle"
"plx_bloodwing"	"Blood Wing"
"plx_bunny"	"Snow Hopper"
"plx_Butterfly"	"Butterfly"
"plx_Butterfly_Swarm"	"Butterfly"
"plx_Butterfly2"	"Butterfly"
"plx_Butterfly2_Swarm"	"Butterfly"
"plx_cave_rat"	"Cave Rat"
"plx_cent_firespider"	"Centurion Spider"
"plx_clannterror"	"Clannterror"
"plx_clinker_ACD"	"Clinker"
"plx_daedric_bat"	"Giant Daedric Bat"
"plx_daedric_less_bat"	"Daedric Bat"
"plx_daedrothfiend"	"Daedroth Fiend"
"plx_DarkSaint"	"Dark Saint"
"plx_dead de female"	"Dead Female Dunmer"
"plx_dead de female_01"	"Dead Female Dunmer"
"plx_dead de male"	"Dead Male Dunmer"
"plx_dead de male_01"	"Dead Male Dunmer"
"plx_dead de male_tomb01"	"Dead Dunmer Male"
"plx_dead de male_tomb02"	"Dead Male Dunmer"
"plx_dead he male_01"	"Dead Male Altmer"
"plx_dead imp male_01"	"Dead Male Imperial"
"plx_dead imp male_02"	"Dead Male Imperial"
"plx_dead imp male_03"	"Dead Male Imperial"
"plx_dead orc male_02"	"Dead Male Orc"
"plx_dead random female"	"Dead Female Adventurer"
"plx_dead random male"	"Dead Male Adventurer"
"plx_dead rat"	"Dead Rat"
"plx_dead_cliffracer"	"Cliff Racer"
"plx_dead_mudcrab"	"Mudcrab"
"plx_dead_netch_bull"	"Bull Netch"
"plx_dead_skeleton hero"	"Skeletal Corpse"
"plx_dead_skeleton"	"Skeleton"
"plx_deadguar"	"Dead Guar"
"plx_deer"	"Fast-Foot"
"plx_dreamerbell"	"Dreamer Bell Ringer"
"plx_dreamerguard"	"Dreamer Overseer"
"plx_dreamerknight"	"Guardian of Dreams"
"plx_dreamerpriest1"	"Dreamer Priestess"
"plx_dreamerpriest2"	"Dreamer Priest"
"plx_DreamerProphet"	"Dreamer Prophet"
"plx_dreugcrab"	"Dreugh Crab"
"plx_dreughi"	"Dreughi"
"plx_DreughLord"	"Dreugh Lord"
"plx_dwemerwarrior"	"Centurion Warrior"
"plx_dwemerwarrior2"	"Centurion Warrior"
"plx_famine"	"Famine"
"plx_fish1"	"Sunheart Fish"
"plx_fish2"	"Silver Ridgeback"
"plx_fish3"	"Crimson Spinefin"
"plx_fish4"	"Gogglefish"
"plx_flame_monarch"	"Flame Monarch"
"plx_flamingskull"	"Flaming Skull"
"plx_FleshDremora"	"Flesh Dremora"
"plx_frost_monarch"	"Frost Monarch"
"plx_Gargoyle"	"Gargoyle"
"plx_gorgra1"	"Gorgra"
"plx_gorgra2"	"Gorgra Titan"
"plx_guar_feral_smaller"	"Wild Guar"
"plx_guar_herd"	"Guar"
"plx_guar_smaller"	"Guar"
"plx_HellHound"	"HellHound"
"plx_HellHound2"	"HellHound"
"plx_herder1"	"Shalk Herder"
"plx_herder2"	"Shalk Herder"
"plx_herder3"	"Guar Herder"
"plx_herder4"	"Guar Herder"
"plx_horror"	"Horror"
"plx_iceworm"	"Ice Worm"
"plx_icewormrocks"	
"plx_imp"	"Imp"
"plx_imp_greater"	"Greater Imp"
"plx_killerwasp"	"Killer Wasp"
"plx_kriin"	"Kriin"
"plx_kriin_baby"	"Kriin Baby"
"plx_kriin_dead"	"Kriin"
"plx_kriin_herd"	"Kriin"
"plx_kriin_old"	"Old Kriin"
"plx_kriin_smaller"	"Kriin"
"plx_kwama forager_D"	"Diseased Kwama Forager"
"plx_kwama warrior_D"	"Diseased Kwama Warrior"
"plx_LandDreugh"	"Land Dreugh"
"plx_Lost_Spirit"	"Lost Spirit"
"plx_moose"	"Moose"
"plx_mummy"	"Mummy"
"plx_NightStalker"	"Night Stalker"
"plx_NightStalker2"	"Night Stalker"
"plx_NightStalker3"	"Night Stalker"
"plx_Nix-Hound"	"Tame Nix-Hound"
